Word,Points_Weight
Oversee,30
Update,30
Write,30
Coordinate,30
Upgrade,30
Process,30
Supervise,30
Develop,30
Provide,30
Manage,30
Create,30
Maintain,30
Plan,30
Implement,30
Reconcile,30
Support,30
Evaluate,30
Direct,30
Transition,30
Produce,30
Administer,30
Save,30
increase,30
Support,30
Exceed,30
achieve,30
Build,30
Create,30
